Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Belarus,BLR,15.3428799223381,27.5701650860696,33.9820919687846,35.0085688070476,38.3068234834594,38.9092866207658,41.8146955867679,43.6051994137647,44.5270253897431,46.8579962545841,47.7584031426538,48.5013390657042
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Belgium,BEL,39.2116105433813,49.0478731796057,45.627583726047,44.6535711948103,45.3946120165296,43.9497364232052,42.6799004017605,42.4061591286145,42.1041786442937,42.0251363121203,41.3923358472746,42.1236367617157
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Belize,BLZ,9.23477222317011,14.9857912869992,12.4190938511327,12.303528863559,11.846776335099,10.6028397787044,10.3542668828235,9.81480581344481,9.11976729480207,7.84268345368142,7.24645977704128,6.68122604912909
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Benin,BEN,0.295484887741536,0.743146928798972,0.93209026928899,0.9159760014335,1.27206577325957,1.28480146586097,1.37595482980176,1.40304767777402,1.56153579906327,1.55924431945152,1.54447039823997,1.84595325632977
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Bermuda,BMU,62.4084417539048,89.2356414214555,81.8108112322061,89.6125091316039,89.2857142857143,89.0717058159494,89.0267234462754,88.9901618142908,..,105.802257114818,110.191151038399,44.6586517162891
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Bhutan,BTN,0.349237873736789,2.50642331886241,5.07366812368065,4.73670609163902,4.39483929846253,3.96946366369577,3.7397344657948,3.66725760490084,3.76870127181672,3.64036116480773,3.51284639371202,3.1118722176939
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Bolivia,BOL,2.68891320429682,6.01222727326768,6.9087237240624,7.0035235481978,7.00874369707256,8.02282019154172,8.04747650600806,8.38078605234172,8.50876729935604,8.38745327513496,8.19383949321538,8.07649462593974
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Bosnia and Herzegovina,BIH,..,20.3423566463695,24.9716482277049,25.5215466108857,27.514711147127,26.7107306768024,25.915609041881,25.9655079435944,24.8985888654299,23.1176948060417,22.105409673343,22.2031998987645
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Botswana,BWA,1.90525120094341,7.74193548387097,7.27490330817969,6.96402425388092,7.15052890396604,7.35794600973564,7.04108950333425,6.97807032911009,7.52896384508791,8.00874290761561,8.61714949553322,8.30163245424404
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Brazil,BRA,6.28740682130248,17.7222945341053,21.4097375760213,20.6236698499155,20.7369732031946,21.5029463553277,21.4464831585225,21.5877182290425,21.8477191581265,22.3025178008827,22.4783810596749,21.8419969305116
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Brunei Darussalam,BRN,13.6224404407443,24.2615302545803,22.807661460245,21.3975558918273,20.8562290268456,20.8202217944059,20.4231744421907,19.9468755695024,19.6400106269926,17.2068077178717,13.5751967523888,11.4008577403386
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Bulgaria,BGR,24.661553402967,36.0200287231689,32.4083878934786,31.4767228853453,30.4153393411547,29.1806088478914,29.6177229799319,29.2895756292144,30.9940841022419,29.306877282531,26.8924176751776,25.3481097511467
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Burkina Faso,BFA,0.183667454202021,0.45845327992623,0.679417988278734,0.685546506623339,0.820129152814439,1.01064514109004,1.0100121451077,0.926385901313,0.884815445624603,0.858789727256893,0.811469184915192,0.715256910098185
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Burundi,BDI,0.14181555664925,0.299657521418771,0.357768308214051,0.346729575177316,0.342206199767732,0.352620740513991,0.348628780195833,0.378781929940073,0.314558294538509,0.176596559707333,0.209130952797984,0.206710985817465
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cabo Verde,CPV,2.34287987271281,12.3509920303056,14.958706865754,14.8520562725651,14.8360701490347,14.8271642893546,14.7975969397629,14.7602240356357,15.1874607588124,14.2030457058137,13.2646618440279,11.6222596830654
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cambodia,KHM,0.0343919996811426,0.252641134803763,0.246854996517032,0.189213558278706,0.272992025772647,0.309170720915822,0.383195261670399,2.49809762399833,3.62868004640876,3.93198062032557,2.78121770559681,2.84327831742305
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cameroon,CMR,0.333196386288096,0.596444699876247,0.553161712482938,0.702205256766128,0.988989445626787,1.30291227988164,2.16580875047161,2.61586029673769,3.16201739134381,3.39842184413182,3.59044428903639,4.6074453543052
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Canada,CAN,55.3038366405993,67.8884303813756,56.2674735185079,55.9198091048096,55.4239177905794,54.6900083422491,55.4268116328043,53.8998729423458,52.9874463768145,50.8812537857392,48.0960217276571,46.6480647904677
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cayman Islands,CYM,49.3022511895718,83.9630562552477,78.1523147481645,75.9605005397193,68.0952751010258,67.5952524947082,66.6070935052971,67.2881875011259,65.7744562816911,64.950495049505,62.8339180285788,55.5549927396751
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Central African Republic,CAF,0.171929371633851,0.2602302823614,0.252468064683328,..,..,..,0.0834691474731773,0.0213567096965669,0.0183715088779471,0.0181870052852807,0.0173294570226217,0.016988012621244
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Chad,TCD,0.0676459706289462,0.123609364532702,0.12981290066627,0.193109430672845,0.299222974040724,0.407955013984698,0.512402908192317,0.437061318695401,0.263567073511447,0.224426472153549,0.244227938590821,0.178485651434024
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Chile,CHL,6.53972739374282,21.3693548284819,21.0303634852023,20.5010200229876,20.7548948064454,20.9708657453926,20.9769765042745,20.1594914744303,19.449027466297,18.7836698404002,18.1799721085049,19.1726705268946
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,China,CHN,0.587792151557187,11.3109783648121,26.5855832612929,27.7334380915987,27.4020143639039,25.3482338170735,23.217951354591,21.6486507660769,20.8350338703121,20.1989752687816,19.2690132787178,17.8958884123549
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Colombia,COL,7.24991826778689,18.0279234158799,17.7815843293536,17.9287394531695,17.8076060729388,17.5601565848162,16.3175744692529,15.4724862836092,15.1378777943155,14.8123150079971,14.7790839277128,14.6760272788069
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Comoros,COM,0.790959083311127,1.28200760156877,2.81972190640434,3.0916782098403,4.11308981945077,4.43699358223046,4.62199949857153,3.10504903518031,3.30555142984451,3.34493374940593,3.12960511186978,3.12318091324468
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Congo, Dem. Rep.",ZAR,0.0973916482823221,0.0208949051447985,0.0195805867560939,0.0174489184710617,0.00612017127666528,0.0634488445730785,0.0699662845832995,0.0675176332533815,0.0891109848927083,0.0906078924505898,0,0
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Congo, Rep.",COG,0.665132927982115,0.70372886734199,0.448986654029067,0.377167775491663,0.356597668760033,0.233459521859421,0.290352342567706,0.325898074161268,0.336066118878893,0.344289241699025,0.352524669307173,0.35756638998779
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Costa Rica,CRI,9.14173583611251,22.8709472850589,32.140305963015,30.2676634885929,32.1896090406356,31.7190529023359,32.5899330294274,22.707827187487,21.776882355921,20.7081771254418,19.877381025195,17.8465112181548
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cote d'Ivoire,CIV,0.600480067112332,1.63450234611748,1.48623139688331,1.53191378054317,1.37930892317988,1.95236112245951,1.51639596755976,1.49311878405117,1.42596521889634,1.39182701394927,1.33955428225693,1.16648226988671
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Croatia,HRV,17.1687575792408,38.4594792502057,42.8927167141695,41.8181515054694,42.2649935219005,43.0739845591618,42.7406877811827,43.0086995770197,42.7406817394426,40.4775756821598,38.8898886965425,36.7195422144529
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cuba,CUB,3.17567257163842,4.3866740118164,7.58016372185881,8.50866729787366,9.33594439195468,9.63221322276079,9.91941943298621,10.3142078440188,10.5836235427414,10.7934224218937,10.9827511628512,11.2342328267012
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Curacao,CUW,..,..,..,..,..,..,57.9419046622729,53.4331797235023,44.9238729433815,41.1274172048966,35.5883093978332,38.9282977829408
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Cyprus,CYP,32.0815902719893,46.6550477214252,40.6774835219536,38.9500664877127,38.4988171329938,38.3740805077389,38.0093402154687,37.4374934877252,36.2757979530915,33.0556229705384,30.5922188358223,28.4351697833067
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Czech Republic,CZE,15.723859904381,37.770738267919,31.447949271813,28.1032546672446,23.2426452792291,23.7991359064818,24.0964373589726,22.4319411740014,20.7698832828497,19.8629443705288,18.6970955589773,17.5709289390369
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Denmark,DNK,56.634435285503,71.8395783812885,61.8008000454806,56.9495286002026,51.6702084717637,54.1301438255171,50.2190181895788,47.0866205280925,44.5087625871331,41.0755016292231,37.2756222709133,33.3192144086079
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Djibouti,DJI,0.9679212915562,1.34239514612934,1.36211747587193,1.43496744308889,1.76701849278193,1.84051351684977,2.0492416637769,2.21501230162727,2.17824214606813,2.32128814915803,2.3697149377042,2.47226431294588
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Dominica,DMA,16.3997293029551,32.5779646665423,26.9343086388251,24.7559768001132,24.6486333780634,24.6885713076478,23.2407459575187,21.7572751415684,20.9969048052548,22.650800736566,23.8101190228185,24.3292185620879
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Dominican Republic,DOM,4.70938604664901,10.3211421908274,9.59239297374971,9.46302926945105,9.4278064048782,10.1096542171721,9.76727151690085,10.1121346474327,10.8379342579397,10.9855856316974,11.2560159734542,11.6451168843553
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Ecuador,ECU,4.84519675968799,9.76958829057837,12.190985191329,12.6589768619153,12.7773288057516,13.1368880217072,13.6430276061463,13.9033997037012,14.4991358989658,14.902095652385,15.2166067115274,15.2772232667989
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Egypt, Arab Rep.",EGY,2.84374030714732,8.29132708535472,14.4838176570716,14.8069137633515,15.1271897992898,15.7004069918898,13.4321796295652,12.3189704146764,10.9762127806938,10.6012120085319,8.31244586496372,7.57424390945424
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,El Salvador,SLV,2.33839287485222,10.4934824060036,15.9975120781459,17.0055662972642,17.6399063719591,17.5100491305275,17.7752218652139,16.0963269887805,16.4594336344406,16.8164799598056,15.1493094973956,14.8502009476559
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Equatorial Guinea,GNQ,0.347732117875838,1.17719938476858,1.65659457167091,1.60896644822266,1.56343317417584,1.51969909957828,1.47743003999403,1.94450469499416,2.02794429019157,2.01929658724209,1.96469285904884,1.94200711769386
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Eritrea,ERI,..,0.775610583274187,0.77691568264626,0.745595463468384,0.718101840246334,0.750906280616176,0.872147680531223,0.944617628600776,0.98557995378951,0.980113594659988,0.977951677960441,0.979165799696948
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Estonia,EST,20.4431042853857,38.2702213646415,33.3590670071662,34.2644930255904,37.7334293882288,38.0882945527199,37.8182836837521,37.1350593323389,36.4549037541966,34.7241741027504,33.1318445276018,31.7259853977072
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Ethiopia,ETH,0.261013341137493,0.351303012400044,0.801324821537448,0.926095273523662,1.09408286162772,1.08602526785199,1.07859409091432,1.04354907586784,0.927373973078873,0.869411323366763,0.809185847561097,0.849687829354416
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Faeroe Islands,FRO,47.521392434053,53.6706029123916,48.4630876579124,46.6325332901607,45.3222746902369,43.9950807443398,42.1854838709677,40.6909905003933,39.4764989606668,37.7428998505232,36.3864238209788,34.9939344925192
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Fiji,FJI,5.82489747219358,10.645021789029,13.6772265478721,13.8878825205903,14.5853683061365,15.2989094046224,16.0452046326068,15.0884483225438,14.9604629914474,10.107780351235,7.97046755914717,8.42635004345978
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Finland,FIN,53.5362930030952,55.033688903004,40.4089076481101,36.2579034161589,32.8781970503722,31.0249690831482,26.7593475734231,23.2874719176376,20.040511522923,16.4464378624179,13.8620572347057,11.7351033719684
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,France,FRA,49.4055302858853,57.3979546686767,54.8572143543332,55.178055015682,55.9387709644408,56.1127629294597,65.0899901631969,64.2439406096383,63.4927005884926,62.1084254200354,60.7858484074357,60.0312998138542
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,French Polynesia,PYF,19.2468619246862,22.6280940880948,20.9463912995716,20.8162774365521,20.7784576030972,20.7522909954085,20.46629391286,20.495775278384,20.3046434873779,20.0866281490355,19.8677171270559,19.6544392231136
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Gabon,GAB,2.19223980488073,3.18018289274737,2.83646196170254,2.58162780706727,1.83067705411403,2.23658202520429,2.40001843129898,1.95222789550591,1.41145044584996,1.38499251487836,1.15163446313388,1.00508737832307
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Gambia, The",GMB,0.672766797082496,2.70982200619597,3.06289587058986,3.12360860378703,3.1842427713766,3.09686283257625,2.97549885404205,2.9022872239147,2.90783796339525,3.58391603511563,3.47139570158196,2.92521454157617
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Georgia,GEO,9.88955020677401,10.7249971593251,12.7410282112553,12.4404187824109,12.5641736463238,14.0062939348243,14.0874096502846,25.3356025077278,30.6451472786271,29.274418446704,27.6506572953273,25.3852442444114
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Germany,DEU,39.6174997306092,60.1347398955167,65.3549959183395,64.9627463727083,63.5328621755418,60.3265515815163,64.5566352475814,63.7215781885928,62.0077202265709,60.5071579545155,58.8685920782022,56.8901591748445
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Ghana,GHA,0.302439869371789,1.12907100194348,1.50357972681862,1.6236494817995,1.67146719214741,0.62267042184385,1.12862683896395,1.14535768002351,1.14711080337521,1.12345584496569,1.04391506094787,0.984816757530337
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Greece,GRC,38.8627883605346,51.5093680345918,57.1622952455803,55.82852009959,49.42154449256,47.4029156019414,54.0663222308513,53.0881865965965,51.6699740505871,49.0909682552396,47.9198938891929,46.9010740444003
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Greenland,GRL,29.8634965739259,46.6051910136362,56.451811142521,63.2112428634168,40.7606878223067,40.2611380679312,38.961268539306,38.5915891486577,35.1358033412213,33.2998749713843,31.5861512274729,30.0888671191659
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Grenada,GRD,15.786303304738,30.8551466246802,26.6398577964274,26.8274259151656,27.5423319753635,27.4977870145865,27.1649919459998,27.1014645050966,26.7164093876696,26.2857522065167,26.9932103836747,26.904226597556
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Guam,GUM,29.9167701292132,47.8773949320148,41.3507490483015,41.3434409104394,41.3690307015051,41.3745183500726,41.2933974694397,41.0812844957351,..,41.1522633744856,40.5755674523389,40.2277583469614
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Guatemala,GTM,2.13960585710608,6.03909272099536,9.84438026617253,10.4262178218187,10.6149746533452,10.6159027636175,10.1024748895345,10.4493676287739,11.0585956841898,11.5617684770187,12.0443984346469,10.8343567860051
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Guinea,GIN,0.187704117846293,0.27796300259955,0.261060316315299,0.23471871462317,0.218971556291565,0.261762897494231,0.2076794577074,0.165501520637166,0.161268213228832,0,0,0
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Guinea-Bissau,GNB,0.585324139829072,0.873548666783946,0.676320686028638,0.467005677175442,0.308151046561529,0.30634443477573,0.312333766413804,0.315134524625872,0.307838554685672,0.300560605641643,0.293383325852059,0.286401977777498
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Guyana,GUY,2.20676566769143,9.18773196000919,14.4756937781435,15.4174402606854,16.6657364224365,17.8954519496893,18.8260749883171,19.0627202255109,19.2568550049186,19.3881079096621,19.6101113913856,19.8747755628194
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Haiti,HTI,0.632901066593006,0.845162302637116,1.56896553772056,1.59767514833349,1.13877713792952,1.12053478560175,1.095732959842,0.505234226587446,0.498362182523355,0.491459659762478,0.397384589096096,0.391916614673989
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Honduras,HND,1.79534041071894,4.79047514730431,7.15600120310343,10.1614680818049,11.4404446873943,11.2773490761459,9.5896915651786,8.83586110541064,7.89902463381173,7.69301722840892,7.64533037084165,6.44715146290003
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Hong Kong SAR, China",HKG,42.7163181990302,57.4348225484145,54.9961532248967,55.5074319121834,60.6961493049207,60.0329713573711,61.043809485752,61.8719106026316,61.1895480485133,61.2934082750029,61.3481900476357,61.0896597304881
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Hungary,HUN,9.5891492596914,37.1499610773081,33.8324799890332,33.3468823164633,32.3099507334715,30.7981100646642,30.5917219813269,29.7288377916595,29.3442015672513,29.6769760414667,29.9149738808095,30.3151168312482
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Iceland,ISL,51.1996232782639,69.8172921689532,65.3261217543682,62.7134652286551,61.211252733992,64.4818580838672,60.5999286178634,60.8768653196748,59.3438326729845,55.2384868673416,50.9879072025733,51.4911372266499
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,India,IND,0.584047452688813,3.11209096477279,4.45165206233341,3.56602639568015,3.38626182792139,3.22645911961284,3.11392442316707,2.91052443712149,2.68886632195366,2.50189617139031,2.31866910788116,2.13035076612075
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Indonesia,IDN,0.596877717701799,3.18878458790817,6.01736269759537,6.50860508998424,8.45532734745122,12.9685871439526,14.6574938994318,17.0066730864879,15.8397130381884,15.386133908745,12.295669027006,11.723149327676
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Iran, Islamic Rep.",IRN,3.90207968266772,14.3925179649689,28.9925998808537,31.8794491433964,33.1921170177328,34.1311550463181,35.0871138518586,34.6687600925214,36.8143111996355,37.6299307801301,38.3339491509877,38.9809079423784
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Iraq,IRQ,4.06512428328186,2.83599670537011,4.07275511290572,4.44522440506277,4.74767602519499,3.67756129333949,5.47069294606318,5.55703728201773,5.63495038715156,5.70809166993867,5.62709001969837,5.60186772258005
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Ireland,IRL,27.837680551996,48.1631110004598,49.3506256129747,51.504790227595,52.6420352510653,51.0759694525557,48.3378007818753,46.5125825926048,45.2495597902559,43.8766229083304,43.9679475999709,43.2408591207823
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Israel,ISR,36.1500510873027,49.4536568185601,44.4645460400319,44.4556776012645,44.3661158880403,45.3648238004353,45.5882506594899,45.9276413245273,46.4047766690572,47.0178527859779,37.5009181259265,37.0744097466322
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Italy,ITA,39.3265375316902,47.6484741845312,42.6933833948151,45.5164623893614,37.6848107786931,36.8090761538181,37.5997358632172,37.2446664030584,36.3999999604804,35.7213753568165,34.5924531544594,33.6825356985755
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Jamaica,JAM,4.45139989624604,19.1123603381433,11.8934481268565,12.7100574246901,13.6497508263938,11.6442467473524,11.0801711568474,9.59534704731195,9.80400912051502,9.14223163296004,8.99245946676016,9.06072772369381
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Japan,JPN,44.6039034093328,49.2839022117657,45.7186719598776,44.0701226922158,40.263623590169,38.035690607924,52.4481693667654,51.5251576696374,50.792434253792,50.4718297812308,47.9921522107247,50.0868828085157
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Jordan,JOR,7.3183099480624,13.0047849218329,11.9860663886841,11.3098501058042,9.88356139194491,8.77977101780653,8.10893230185784,7.52227032262802,6.91394384110533,6.19788103022151,5.20238461359738,5.0032299276784
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kazakhstan,KAZ,8.2454999103383,12.5841849595119,17.9765280181582,19.2313615408626,21.0242305735012,22.214637005185,24.495742765038,25.4856330208282,26.4989472603985,26.8044135156342,26.7143762393871,26.1229112419565
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kenya,KEN,0.746595250562356,0.932413405124812,0.801238639392397,0.798106552301247,1.22844422952305,1.66701411387023,1.66755413859136,0.930714987931564,0.674661500383162,0.582625824488368,0.460737303689111,0.395183065552657
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kiribati,KIR,1.68918918918919,4.05010387978934,4.64252553389044,4.35004839428839,4.28260939390371,4.21798549012991,8.61828984543793,8.59089653479021,8.52493702770781,8.92981168019368,8.79327021719377,8.85109003097882
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Korea, Dem. Rep.",PRK,2.47593870387877,2.18912029106543,4.19932816628399,4.17189596442908,4.89383103152544,4.8672049135341,4.84164835149054,4.81622430870855,4.7906542941659,4.76513767128853,4.73981622366791,4.71498551860126
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Korea, Rep.",KOR,30.8953982260274,56.2517821329306,50.8262503401329,47.4323890528214,48.3611874359991,50.8849257656007,55.836911262208,58.9078582705705,60.4697426611815,61.4235245037501,61.5741285627515,59.5435662438859
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kuwait,KWT,16.0894350545254,24.5021196276842,21.9833176124868,21.3854710241598,21.0659824965165,19.2421715322322,18.5430907385069,17.3626645451567,16.4718269404632,15.6899131701746,15.0805742017686,14.1979685408656
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Kyrgyz Republic,KGZ,7.14647530027293,7.59038114170964,8.73363198853875,9.03011244445669,9.3879454188178,9.51466095495446,9.46452739468717,9.16819563036641,9.2907842238405,8.93010556951291,8.31497086640801,7.87722343851528
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Lao PDR,LAO,0.162798149142895,0.758609285595907,1.56814973666151,1.56295953310165,1.57697681697071,2.08171292107168,1.5990509204897,1.61204857065975,1.65063359930223,6.77116632738108,10.3654401425641,13.3557138294234
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Latvia,LVA,23.2734043172165,30.9803451935731,32.8204101440186,29.9168228769172,29.7183360504107,27.725840380347,26.5890338520795,25.4530095158188,24.9034308630573,23.1088395226623,20.63095609118,18.9602623277225
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Lebanon,LBN,14.5799937033369,17.8031637705617,15.9207798608681,16.7012392449378,16.8495533493904,17.9164890943525,18.92522682299,19.3038986503857,19.0928975537644,18.65688102139,18.0424146059775,19.4470343223825
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Lesotho,LSO,0.773504664063488,1.19597570337648,2.49054440546586,2.7383861064629,2.43288624919725,2.08853163397811,2.01017853903239,1.922026799461,1.90089656844292,2.4746715280435,2.42689078870938,2.43970115055416
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Liberia,LBR,0.446055570535034,0.231676145794144,..,..,0.0581439255212654,0.0544556423396976,0.0621231786970357,0.146690618217833,0.227688477845291,0.327746403416352,0.256166808373487,0.228344098180684
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Libya,LBY,5.16454838019809,11.6881448402636,15.2347415742388,15.9852984493909,16.7585939245687,15.6618434676665,17.827080180909,20.3340323795006,16.3847587008394,13.2258304042343,12.7226852896249,11.2961609044093
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Liechtenstein,LIE,57.5334840841886,60.6533103677515,57.5993091537133,56.3977389516958,55.4491899852725,55.0840312517565,54.6707204819949,54.2635658914729,53.8639111795097,50.3873854212135,49.5599187542316,48.3949024036135
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Lithuania,LTU,21.1220446406427,33.9481301126271,24.3736883066781,24.4643803806264,25.0599983448732,24.9716063639921,24.0947293867484,24.5543281199639,23.3874401277275,22.3077459166785,20.7492178314865,19.5025940011708
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Luxembourg,LUX,48.1154561408104,57.068040017335,53.4021190485031,53.280824694504,52.1106711400941,53.4772526728366,52.9194003003317,53.6341888419623,54.0585031800259,50.9218244027617,50.4543911912214,49.6310275895603
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Macao SAR, China",MAC,25.8954508179632,40.9433049244398,37.2507470912039,36.8199363078565,36.0930321204527,34.6621270156523,32.684134144401,31.4937919218295,30.4442060635793,29.1914444226925,27.9698079894063,26.6884571341191
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,"Macedonia, FYR",MKD,14.2159814102532,24.7214478232119,25.5332423623617,23.4447781809255,22.1135923534069,21.7804817967104,20.8183254163894,19.650264292537,20.0606020276726,19.3922325255572,18.8179054442049,18.6157119454534
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Madagascar,MDG,0.273199338078616,0.349289680263548,0.50499732263832,0.68951519818788,0.691207686863001,0.827283477992059,0.90823951078507,0.67394759997518,1.09259523554064,1.08981760672442,1.07133956944802,1.0566791173344
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,Malawi,MWI,0.281990612380086,0.410228471573015,0.794785444913192,0.976890160349005,1.27761478655231,0.787461946200109,0.763949892605249,1.01312841463267,1.12230730768064,1.42894566951098,0.205157295918177,0.381760355725758
